date;hour;hour_time;r_observed;r_source;forecast_cloud_cover_pct;forecast_cloud_class_pct;actual_pv_Wh;radiation;r_clear_candidate_flag;reference_r_at_observation;deviation_vs_reference_pct;source_file;first_seen_at;last_updated_at
2026-06-02;06;06:00;7.3529;calculated_actual_pv_Wh_div_radiation;1.0;5;500;68;False;0.0000;;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-02;09;09:00;1.7717;calculated_actual_pv_Wh_div_radiation;1.0;5;900;508;True;2.7000;-34.4;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-02;17;17:00;5.4409;calculated_actual_pv_Wh_div_radiation;3.0;5;2900;533;True;6.7000;-18.8;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-02;18;18:00;6.8528;calculated_actual_pv_Wh_div_radiation;0.0;0;2700;394;True;5.8000;18.2;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-02;19;19:00;4.1494;calculated_actual_pv_Wh_div_radiation;3.0;5;1000;241;True;4.4000;-5.7;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-03;05;05:00;66.6667;calculated_actual_pv_Wh_div_radiation;0.0;0;200;3;False;0.0000;;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-03;08;08:00;1.6901;calculated_actual_pv_Wh_div_radiation;5.0;5;600;355;True;1.8000;-6.1;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-03;09;09:00;1.7751;calculated_actual_pv_Wh_div_radiation;1.0;5;900;507;True;2.7000;-34.3;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-04;15;15:00;2.0067;calculated_actual_pv_Wh_div_radiation;2.0;5;1200;598;True;6.9000;-70.9;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-06;05;05:00;25.0000;calculated_actual_pv_Wh_div_radiation;0.0;0;100;4;False;0.0000;;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-06;06;06:00;3.9474;calculated_actual_pv_Wh_div_radiation;0.0;0;300;76;False;0.0000;;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-06;09;09:00;1.5534;calculated_actual_pv_Wh_div_radiation;4.0;5;800;515;True;2.7000;-42.5;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-06;10;10:00;2.7149;calculated_actual_pv_Wh_div_radiation;0.0;0;1800;663;True;3.7000;-26.6;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-06;11;11:00;3.6082;calculated_actual_pv_Wh_div_radiation;0.0;0;2800;776;True;4.5000;-19.8;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-06;15;15:00;5.4863;calculated_actual_pv_Wh_div_radiation;2.0;5;4400;802;True;6.9000;-20.5;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-06;16;16:00;6.1605;calculated_actual_pv_Wh_div_radiation;0.0;0;4300;698;True;7.0000;-12.0;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-06;17;17:00;5.9246;calculated_actual_pv_Wh_div_radiation;0.0;0;3300;557;True;6.7000;-11.6;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-06;18;18:00;7.4257;calculated_actual_pv_Wh_div_radiation;0.0;0;3000;404;True;5.8000;28.0;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-06;19;19:00;6.8826;calculated_actual_pv_Wh_div_radiation;0.0;0;1700;247;True;4.4000;56.4;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-06;20;20:00;1.8519;calculated_actual_pv_Wh_div_radiation;0.0;0;200;108;True;2.6000;-28.8;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-06;21;21:00;0.0000;calculated_actual_pv_Wh_div_radiation;0.0;0;0;15;False;0.0000;;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-07;10;10:00;2.7481;calculated_actual_pv_Wh_div_radiation;0.0;0;1800;655;True;3.7000;-25.7;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
2026-06-07;11;11:00;4.1505;calculated_actual_pv_Wh_div_radiation;0.0;0;3200;771;True;4.5000;-7.8;/work/20_analysis/20_40_meteo_forecast/20_40_11_pv_weather_model/20_40_11_pv_weather_common.csv;2026-06-08T20:48:53;2026-07-12T18:01:01
